iterations,error_feas_max,error_feas_mean,error_opt_max,error_opt_mean,error_total_mean
44,0.00031441596871651105,0.00014566476877920094,0.0007383889149094323,0.0002606195137189688,0.00020314214124908487
45,0.00019527685039074554,7.501239598991205e-05,0.0006945696556817456,0.0002847403281031733,0.00017987636204654266
46,0.00033632413009829524,0.00013197901169045763,0.0006552448538912865,0.0002559721970110232,0.00019397560435074042
47,0.0005493988124455964,0.0002619866644580573,0.0006568781230505301,0.0002252815806740941,0.00024363412256607568
48,0.0008076948629796634,0.00024163359712299007,0.0009234285676400158,0.00028169279256814745,0.00026166319484556875
49,0.0011191737580349686,0.0005570951800517452,0.0012292068102283129,0.0006230148766075747,0.0005900550283296599
50,0.00126390375122085,0.0005063248415471854,0.0012914657882409438,0.0006053854253785124,0.0005558551334628489
51,0.0019530935866512872,0.0008661337480208052,0.0021936591689509944,0.0009578308089449511,0.0009119822784828781
52,0.0024088514009772146,0.0008773245792744707,0.002792519377423424,0.0009443973621091428,0.0009108609706918068
53,0.0029521637305441007,0.0012226517963812745,0.00356833720399982,0.0009190880666871375,0.001070869931534206
54,0.0035793557074266457,0.0012689984903495168,0.0045965807043178595,0.0014752077156146353,0.001372103102982076
55,0.004272644870753767,0.0010580838724966112,0.006471610895167349,0.0008854449614656097,0.0009717644169811104
56,0.00521241012955142,0.001627874566618278,0.008703179240352802,0.002200749473367672,0.001914312019992975
57,0.00573400457705446,0.0010525583946561505,0.00386147459405258,0.0006069852780575978,0.0008297718363568741
58,0.005835864087857629,0.0013578136906245545,0.014002311124846917,0.002479403009815515,0.0019186083502200349
59,0.0059350752624317635,0.00292963058609,0.01690679855136786,0.004263406632474576,0.0035965186092822878
60,0.005681127185002065,0.0011643822633610962,0.0034364438693762584,0.0007084816083359754,0.0009364319358485358
61,0.00504976176784802,0.0021548002190145974,0.02323402572361102,0.003084808510727797,0.0026198043648711974
62,0.004169361980663191,0.0015958537737009771,0.026653930015231073,0.0034022761891808785,0.0024990649814409277
63,0.00043796963038268997,0.00011380861941609594,0.0009986339105848316,0.00015305862471630145,0.0001334336220661987
64,0.0004311512651750898,0.00013917305053601914,0.0009978616237540728,0.0001458279754226691,0.0001425005129793441
65,0.00026130120402692456,4.769213314539614e-05,0.000894860286360649,0.00032847920356541296,0.00018808566835540455
66,0.0001722620884405769,9.946985018000816e-05,0.00019554501246218288,5.528552136866916e-05,7.737768577433866e-05
67,0.00028971481614601367,0.00018047000769441822,0.0007370256607843028,0.00018344058105065696,0.0001819552943725376
68,0.00054252324604744,0.00022440632556891102,0.0006484901210164678,0.00025392071659481396,0.00023916352108186247
69,0.0007936957402267507,0.0004885843486825373,0.0007148345261101246,0.00030184689166192375,0.0003952156201722305
70,0.0011332263016904788,0.0005553643059017594,0.0009727490229034447,0.0004534645681022148,0.000504414437001987
71,0.0014659211115686374,0.0008463103145129444,0.0015260722369005515,0.0005060627519331014,0.0006761865332230229
72,0.0019058304836413918,0.0009181649265887718,0.0022678776562799216,0.0010356181127506958,0.0009768915196697338
73,0.002384664127947421,0.0012792707157900333,0.0030893949719239255,0.0013613738554206021,0.0013203222856053177
74,0.0016540918111519161,0.0005294753410241034,0.0005825629832561774,0.0001899636995495785,0.00035971952028684094
75,0.0035930866251554228,0.0019835480302258365,0.00458146797317746,0.0008634289610577207,0.0014234884956417786
76,0.004315659941040134,0.002534048859012576,0.005928755504348472,0.004318778738804586,0.003426413798908581
77,0.005364037462009596,0.001749516177441953,0.004591580960866978,0.0011073640842308955,0.0014284401308364242
78,0.006014194908935131,0.0006420031122603596,0.010517149239036594,0.0010900344064080259,0.0008660187593341927
79,0.006226123259831963,0.0027549651373007314,0.013220061303295803,0.004368746420566108,0.0035618557789334196
80,0.006452017759816387,0.0022338324789677555,0.01605096924856332,0.0037648401870474515,0.0029993363330076033
81,0.006281650508374053,0.00154900519192472,0.019057904340800687,0.0027498138114653062,0.0021494095016950134
82,0.005691013977335067,0.002383711135500192,0.0038712262642084444,0.000792993917463921,0.0015883525264820564
83,0.0048229317653602725,0.0018260633129625584,0.025155591033280668,0.0031456642098439775,0.002485863761403268
84,0.0004180778137346293,0.00018652267641891602,0.00025764126327339134,0.00013080436296398126,0.00015866351969144864
85,0.0003827963535610829,8.187802539849965e-05,0.000930238484648664,0.00029434432349582717,0.0001881111744471634
86,0.0002485477453398734,0.00013967531178846358,0.00016198927789013145,3.124224815784261e-05,8.54587799731531e-05
87,0.0001746730611567431,8.450516112812341e-05,0.0011849628241058948,0.00030941374919483846,0.00019695945516148093
88,0.0003359980354216482,0.00012782682951255133,0.0010957134396739929,0.0005995818383632432,0.00036370433393789726
89,0.00053987270667684,0.0002451910750714102,0.0010217285646486264,0.00027835390291392067,0.00026177248899266544
90,0.0007858150864282052,0.0004319744333227552,0.0009243480229522041,0.00024160557695266407,0.0003367900051377096
91,0.0011297271761579691,0.0005737601950569933,0.0009116467370038892,0.0004961075944400544,0.0005349338947485239
92,0.0013715554930341309,0.0006763993187869541,0.0016218705973088698,0.000771161452290771,0.0007237803855388626
93,0.0018134380143706949,0.0013777012539834227,0.0015711545115122507,0.000571821976388808,0.0009747616151861154
94,0.0023138650533673978,0.0010315598546070215,0.0033209333197650242,0.0014250751768770703,0.001228317515742046
95,0.0016372620006206383,0.0010063422883650113,0.004213969210458529,0.001163817929583286,0.0010850801089741487
96,0.003644032330359846,0.0018418824809207,0.00488655673516548,0.0020346840451160348,0.0019382832630183673
97,0.004349756799520868,0.002350977387884785,0.005457130076688424,0.0019360013823174174,0.0021434893851011013
98,0.0054888973599158015,0.002184418414794927,0.005071117279785704,0.0012390853695917786,0.001711751892193353
99,0.0023401420116640976,0.0008739127455186476,0.0016398079587137068,0.0005354000577503971,0.0007046564016345224
