iterations,error_feas_max,error_feas_mean,error_opt_max,error_opt_mean,error_total_max,error_total_mean
90,0.0017504630871795755,0.001119978313452761,0.008460112162012536,0.00263307437802151,0.0046964705717618994,0.0018765263457371356
91,0.0017519143151979073,0.001025077875770259,0.008359278275660723,0.003900731942754388,0.004638281313265427,0.0024629049092623236
92,0.0017429128807119874,0.0010686960147881306,0.004653327388671226,0.001626235802697787,0.0031973411276183155,0.0013474659087429589
93,0.0009422141007629763,0.0006137081164167422,0.005779899347711494,0.002674971995168222,0.0032950742344285177,0.0016443400557924822
94,0.0009483226652083373,0.0007356778306839032,0.007069155948243434,0.0015755005207648842,0.004008739101416333,0.0011555891757243939
95,0.0009608787861835793,0.0007000910626493366,0.007690515611901003,0.0018077930347389173,0.004082630665928493,0.0012539420486941267
96,0.0009775031481872216,0.0005367060821198168,0.0076851506226948635,0.0027278968272496087,0.0043313268854410425,0.0016323014546847127
97,0.0009915823030309835,0.0005334980545308667,0.006277993705862764,0.0018215961687424141,0.003489409025531953,0.0011775471116366404
98,0.0010050221776083444,0.00040746401409319825,0.006313680869500205,0.0018039625382461528,0.0035823742115828365,0.0011057132761696758
99,0.0010219441361191926,0.0006950099186935379,0.0035468754814010775,0.0009907534551897633,0.0020321267749249163,0.0008428816869416505
100,0.0010298827383222213,0.00047458252755340404,0.006771043239986307,0.0021270199929629497,0.0039004629852749913,0.0013008012602581764
101,0.0009159059274637512,0.0005684534205223568,0.006125047307131657,0.0021312550954889114,0.003520475817659991,0.001349854258005634
102,0.001024273557756291,0.0007097368718303358,0.0024947464094474433,0.000715495096711811,0.0017595099836018673,0.0007126159842710734
103,0.0010266562456108805,0.0007860780633480028,0.007453855526092624,0.0023355104064463257,0.004240255885851752,0.0015607942348971643
104,0.0010354420706342687,0.0007087208012857532,0.005895401514686503,0.0022141906254262876,0.003465421792660386,0.0014614557133560203
105,0.0010727582610826553,0.0007785659066738829,0.00363739176100283,0.0008858520336750313,0.002134182348029562,0.0008322089701744573
106,0.001143517741610931,0.0008078563472789822,0.004518738812185166,0.0012178329676327368,0.0025824542425910728,0.0010128446574558594
107,0.0011987267888897285,0.0009692372818177131,0.00671971569225719,0.0026605342481808413,0.0036752992955074127,0.0018148857649992768
108,0.0012584888689334006,0.0007085915227915071,0.00683206784047862,0.002464028744752859,0.003890646833928471,0.001586310133772183
109,0.0013130834172581703,0.000664059091587566,0.006531646351874092,0.002629438899622108,0.0037394685031206733,0.001646748995604837
110,0.0013543873809790253,0.0008685754441834533,0.006210711115275976,0.0023515682216210736,0.0036784015173146473,0.0016100718329022635
111,0.001381571128541337,0.001145144585694485,0.003502704145699568,0.0017707878922450545,0.0023530652089341574,0.00145796623896977
112,0.0014058077571760448,0.0010719739825064563,0.006894155706880545,0.001684872693926333,0.0038051043428707896,0.0013784233382163947
113,0.0014247247575832455,0.0007866539747206294,0.0056939820506252065,0.0016522336220895829,0.0033236279559496797,0.0012194437984051059
114,0.0014596062419342207,0.001234338971036752,0.0046984375770000725,0.0013974367524396984,0.002708967411509159,0.0013158878617382252
115,0.0015126977149890208,0.0010771136815445714,0.004079910377067638,0.002730117841057751,0.0026545045136839003,0.0019036157613011612
116,0.0014234808367823582,0.0007919737155339517,0.008307433203260502,0.0022669529618494677,0.00486545702002143,0.0015294633386917097
117,0.0016168310269320462,0.0008030023943890406,0.008123152451594564,0.0014602738499185264,0.004473125793991838,0.0011316381221537835
118,0.0015119776694473514,0.0006811036054743463,0.004423253703817633,0.0016500935332298943,0.002967615686632492,0.0011655985693521202
119,0.0017102873208928637,0.0009391081481418793,0.006877573658714658,0.00232955419854691,0.0038839799223382154,0.0016343311733443948
120,0.0017208632690342736,0.0010175966882129952,0.008564055087680869,0.003959963077791695,0.004731498504204658,0.0024887798830023453
121,0.0017267524072674925,0.0008573200548908768,0.006869479084094552,0.0014340036006688663,0.003932445566531232,0.0011456618277798716
122,0.0017240719832910761,0.000979158219241007,0.006248170513127926,0.0018617076372139402,0.003968145880019846,0.0014204329282274737
123,0.0017591939642168763,0.001274274761875233,0.005040178792822163,0.001604806173693373,0.0033996863775053194,0.0014395404677843026
124,0.0009238181597878699,0.0005044426608301394,0.007545935191584077,0.0022227944112765486,0.004011179409535782,0.0013636185360533441
125,0.0009013802987615506,0.0005468725318699914,0.004161161401892231,0.0014660937432160247,0.0023168969272437134,0.001006483137543008
126,0.0007371490041272995,0.00047335833941356453,0.003927966081493052,0.0012367424530426029,0.0022038889137959436,0.0008550503962280838
127,0.0009493507489649881,0.0004253441498102595,0.005990121717064404,0.0029602409552593107,0.0033522754479143315,0.0016927925525347849
128,0.0009679796525131783,0.0007784255477096681,0.0021339993845804397,0.0004676625358571197,0.001312903923812319,0.0006230440417833939
129,0.0009780805671896879,0.0006408056883195639,0.0076502201567939685,0.0029191866043859573,0.004306268888172999,0.0017799961463527605
130,0.0009899303518021347,0.0005800236353705968,0.004737650342825092,0.0015272503943505968,0.0027996923095205913,0.0010536370148605968
131,0.0009987420465571893,0.0007149086364356154,0.003847244441318931,0.0011644197701164399,0.001949034076265216,0.0009396642032760277
132,0.0009302696003337222,0.0006695322300152818,0.00600677435935434,0.001514179434504861,0.00332871013529058,0.0010918558322600713
133,0.0010066155390783481,0.0007014401392776933,0.0066334535304551885,0.002368306552972891,0.003820033527121741,0.001534873346125292
134,0.0009662101073391209,0.0007122932063510308,0.0026549118365273286,0.0011953338267777789,0.001810560971925652,0.000953813516564405
135,0.0010033417811856785,0.000726190439628041,0.005417804433083514,0.0015658464179640042,0.0030432229620261228,0.0011460184287960227
136,0.0010832197086231411,0.0007287214891937008,0.004773082788928528,0.0011045895909613788,0.002859112271722156,0.0009166555400775399
137,0.0011518833920475893,0.0006997747175688498,0.005018956698192113,0.0011723160672686942,0.0028246018744094202,0.0009360453924187719
138,0.0012253110329887222,0.0009674499550196905,0.006491305491312554,0.0017594169519254796,0.0037185043117961827,0.001363433453472585
